scenario_id,需求总体系数,平均容量系数,平均电价系数,平均绿电系数,成本优先_现金成本_CNY,成本优先_调度碳代理_kgCO2,成本优先_位置法碳排_kgCO2,成本优先_市场法碳排_kgCO2,成本优先_任务完成率_%,成本优先_SLA满足率_%,协同_现金成本_CNY,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_任务完成率_%,协同_SLA满足率_%,协同_绿电占比_%,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%
13,0.8585106595172177,1.001219399506883,0.9944968113732638,0.9754039247233278,430.2731907013561,449.3324962585058,449.3324962585058,798.0745855891305,100.0,100.0,438.4209718432878,169.8229685479987,440.38226971180154,234.69184735098972,100.0,100.0,70.64938266491635,0.10697029800030577,1.8936297491950704,62.205500389560584,1.9918938917685318,70.59274263473223
14,0.9543523571645722,1.0082764061851361,0.997107206653499,1.0174076358929458,540.4305553474212,602.1235362954076,602.1235362954076,889.1520844490386,100.0,100.0,555.8697006937556,232.51687073342316,586.6789074665983,236.64866605438027,100.0,100.0,73.50034558353956,0.07451983100054349,2.856823174331654,61.383859504314714,2.5650265930199443,73.38490566537679
15,1.1095530283248345,0.9915594917427402,1.0053482462951913,1.0886955951674644,647.7020341929011,722.8178996043312,722.8178996043312,1029.793438592773,100.0,100.0,655.8775491552047,293.2246184767574,721.9144565569275,294.95130771857185,100.0,100.0,71.37063158069094,0.041511672999149596,1.2622339487463705,59.43312712133057,0.12498902529921307,71.35820673691349
16,1.1371800884903671,1.0016646449317128,1.0068733960509517,0.9508856581914071,665.9749682416979,735.7134024070258,735.7134024070258,1058.6171115976188,100.0,100.0,672.9795338403015,325.5314018274846,727.5146837156991,413.92670701795294,100.0,100.0,60.92012909178205,0.043999362000249675,1.0517761076061278,55.75296022031855,1.1143902862858048,60.899299427224186
17,0.9078496630371363,0.9764006387333328,1.015988847281363,1.0320464796476687,510.48006123158365,566.4539861473504,566.4539861473504,838.5860152908799,100.0,100.0,518.6510942991537,193.66732328425988,555.7370777611502,210.39471343805982,100.0,100.0,74.93469484478176,0.13813887299966154,1.600656654024174,65.81058161467654,1.8919292031272663,74.91077723671789
18,1.0671695629942106,0.9754250315853761,0.9966199074827966,1.0976483785756062,609.1004948406041,671.9814941323814,671.9814941323814,992.7562310847934,100.00000000000001,100.00000000000001,626.7616719178033,251.5355365066606,657.8031402959019,259.19111483246667,100.00000000000001,100.00000000000001,73.89244541490179,0.058945705000041926,2.8995506040133616,62.568085772744844,2.109932187163223,73.89176650654248
19,1.1383758077730406,1.0156234391344747,0.9997127687140245,0.9596567568041039,667.0954404948909,739.0175976794826,739.0175976794826,1060.5447203524411,100.0,100.0,674.605430865501,358.8620934206456,732.3602020551489,386.04069656673084,100.0,100.0,63.63794629426094,0.038522566000210645,1.1257745016273488,51.440656548981565,0.9008439914337592,63.59977197015875
20,1.0480871042025708,0.9927382829964435,1.0058346898677237,0.9553327876059868,604.7811497858702,662.2531920172734,662.2531920172734,972.1362245579919,100.0,100.0,612.2103250830331,276.2193092875563,649.0939602155465,323.8983035104599,100.0,100.0,66.72242693347158,0.045600280000144267,1.2284072180148684,58.290981060254104,1.9870393922364973,66.68179877179979
21,0.9649107900068125,0.9978066482755672,1.0085773570353576,0.9814181186740942,552.3526993518595,583.29680177896,583.29680177896,902.2035763131381,100.0,100.0,560.8193314192627,235.12798716896026,566.0401981831337,252.40745099474123,100.0,100.0,72.05640330796155,0.11133503399923939,1.5328307578360725,59.689820610732255,2.958460177253922,72.02322650657113
22,1.0100318335288017,1.0280852648763361,1.0023592542944313,1.0193919742623674,579.908941797907,651.6110689700704,651.6110689700704,939.8347330848339,100.0,100.0,596.4719801879269,281.1953789528321,646.123795020033,271.22002087221995,100.0,100.0,71.09280254360954,0.05519587999970099,2.8561446800025267,56.84613224921324,0.8421087687645579,71.14173254887162
