压力测试,场景,参数值,协同_任务完成率_%,协同_SLA满足率_%,协同_现金成本_CNY,协同_单位成本_CNY_per_1000CU,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_绿电占比_%,协同_绿电利用率_%,协同_平均延迟_h,协同_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳代理下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%,相对成本优先_绿电占比变化_pp,相对成本优先_SLA变化_pp
2_电价压力,电价×1.25,1.25,100.0,100.0,712.2241423440728,177.18340730504087,250.7571027107126,620.25434499,270.0960776291291,70.96124356892282,63.94869144114338,0.9632833296017115,0.11692717200003244,1.1921259801744137,59.98560132268308,1.0233234733110148,70.96130351936165,70.96124356892282,0.0
2_电价压力,电价×1.50,1.5,100.0,100.0,846.5782074943035,210.60731086755317,253.67635071788627,622.55902323,272.24679167038926,70.72231224065116,63.7166050996238,0.9632833296017115,0.11325577499974315,0.9416997650534,59.51976425432386,0.6555559687363397,70.73007494022413,70.72231224065116,0.0
3_绿电比例压力,绿电可得量×0.40,0.4,100.0,100.0,580.9321265296218,144.5212644052098,460.24611216887877,610.61873469,654.0271580266692,29.61915501870456,66.66903366378321,0.9071050078364056,0.1363798450001923,1.053760541815396,26.576935434575613,2.5879902152203416,29.67609862002649,29.61915501870456,0.0
3_绿电比例压力,绿电可得量×0.60,0.6,100.0,100.0,582.9474116988965,145.02261653827316,382.29011816585853,609.7372088850001,514.86714549707,44.62036098867492,66.98800889394107,0.9071050078364056,0.1266862630000105,1.4043215378751988,39.01325554594542,2.7286200312802475,44.63920049899824,44.62036098867492,0.0
3_绿电比例压力,绿电可得量×0.80,0.8,100.0,100.0,584.2968135968332,145.35831370421502,306.7228012044706,609.7372088850001,376.84778358730813,59.46586532116985,66.95653889988942,0.9071050078364056,0.11595092700008536,1.6390514315090132,51.06850999697269,2.7286200312802475,59.479654563251614,59.46586532116985,0.0
3_绿电比例压力,绿电可得量×1.00,1.0,100.0,100.0,585.8225517033877,145.7378788724004,243.63196257630665,619.28929908,263.5077911228035,71.65376178258691,64.536766864873,0.9071050078364056,0.12980277000042406,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0
3_绿电比例压力,绿电可得量×1.20,1.2,100.0,100.0,589.189955435294,146.57560400907877,187.41858393700116,614.14569642,185.3105659450855,80.0840574224452,60.16366997667508,0.9071050078364056,0.14679918500041822,2.490218652359455,70.10111237155317,2.025333992876082,80.07458588797948,80.0840574224452,0.0
3_绿电比例压力,绿电可得量×1.50,1.5,100.0,100.0,589.6512903471804,146.69037250222166,137.51981025147393,614.55087666,130.09191376879812,86.01557707846675,51.684674123397755,0.9071050078364056,0.18995388000075764,2.570468350364359,78.06146398600337,1.9606955871718892,86.0119403270469,86.01557707846675,0.0
4_SLA压力,SLA阈值×0.50,0.5,100.0,100.0,645.7509823788388,160.64656128040372,279.24405462949534,662.7268027350001,291.5118417418639,68.67162329680174,61.910712715623184,0.33589820135831033,0.0821754280004825,1.8622925116989135,59.35509435593782,3.537898414006544,68.60846459925584,68.67162329680174,0.0
4_SLA压力,SLA阈值×0.70,0.7,100.0,100.0,635.2980871549656,158.0461445269462,271.19538757309726,653.344454175,282.268203672606,69.69746462095127,62.902825480075194,0.49994029405179496,0.11692897400007496,1.9098775380175934,59.98007983698112,3.5868820298903112,69.63643950400628,69.69746462095127,0.0
