压力测试,场景,参数值,影子碳价_CNY_per_kg,协同_任务完成率_%,协同_SLA满足率_%,协同_现金成本_CNY,协同_其中绿电溢价_CNY,协同_调度碳代理_kgCO2,协同_位置法碳排_kgCO2,协同_市场法碳排_kgCO2,协同_单位成本_CNY_per_1000CU,协同_位置法单位碳排_kg_per_1000CU,协同_市场法单位碳排_kg_per_1000CU,协同_绿电占比_%,协同_绿电利用率_%,协同_平均延迟_h,协同_求解时间_s,成本优先_任务完成率_%,成本优先_SLA满足率_%,成本优先_现金成本_CNY,成本优先_其中绿电溢价_CNY,成本优先_调度碳代理_kgCO2,成本优先_位置法碳排_kgCO2,成本优先_市场法碳排_kgCO2,成本优先_单位成本_CNY_per_1000CU,成本优先_位置法单位碳排_kg_per_1000CU,成本优先_市场法单位碳排_kg_per_1000CU,成本优先_绿电占比_%,成本优先_绿电利用率_%,成本优先_平均延迟_h,成本优先_求解时间_s,相对成本优先_现金成本变化_%,相对成本优先_调度碳代理下降_%,相对成本优先_位置法碳排下降_%,相对成本优先_市场法碳排下降_%,相对成本优先_绿电占比变化_pp,相对成本优先_SLA变化_pp,节点占比_安徽_芜湖_%,节点占比_江苏_长三角_%,节点占比_内蒙古_和林格尔_%,节点占比_四川_天府_%
3_绿电比例压力,绿电可得量×1.50,1.5,0.25,100.0,100.0,589.6512903471804,7.823195112680386,137.51981025147393,614.55087666,130.09191376879812,146.69037250222166,152.88476171356072,32.36358777242036,86.01557707846675,51.684674123397755,0.9071050078364056,0.18995388000075764,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.08260531699943385,2.570468350364359,78.06146398600337,1.9606955871718892,86.0119403270469,86.01557707846675,0.0,22.51909346468642,6.119362141453343,23.287807547826954,48.07373684603329
4_SLA压力,SLA阈值×0.50,0.5,0.25,100.0,100.0,645.7509823788388,6.247365630838733,279.24405462949534,662.7268027350001,291.5118417418639,160.64656128040372,164.86971732591988,72.5207955175421,68.67162329680174,61.910712715623184,0.33589820135831033,0.0821754280004825,100.0,100.0,633.9450707971,0.0,687.033344535,687.033344535,928.63199592,157.7095481745155,170.91657201656838,231.02022437495336,0.0,0.0,0.3255541458317785,0.036432490999686706,1.8622925116989135,59.35509435593782,3.537898414006544,68.60846459925584,68.67162329680174,0.0,27.759036744035626,10.55974326442272,20.339826355200636,41.34139363634103
4_SLA压力,SLA阈值×0.70,0.7,0.25,100.0,100.0,635.2980871549656,6.347479018565729,271.19538757309726,653.344454175,282.268203672606,158.0461445269462,162.53562558773044,70.22121145175161,69.69746462095127,62.902825480075194,0.49994029405179496,0.11692897400007496,100.0,100.0,623.3920621855001,0.0,677.650995975,677.650995975,929.62814328,155.08422573463196,168.582480278379,231.26804071945668,0.0,0.0,0.48959623852526307,0.0485635060003915,1.9098775380175934,59.98007983698112,3.5868820298903112,69.63643950400628,69.69746462095127,0.0,27.759036744035626,10.55974326442272,18.98475010572928,42.69646988581238
4_SLA压力,SLA阈值×0.85,0.85,0.25,100.0,100.0,597.8654273857625,6.474749285562313,246.30724981137251,627.92681214,266.9262653585929,148.73384267128455,156.21235717590866,66.40452405865933,71.27279161314549,64.16405995919249,0.6925143667437869,0.08514572500007489,100.0,100.0,579.8934909868999,0.0,637.1622479549999,637.1622479549999,929.0103746400001,144.2628780722193,158.50990072766623,231.11435545936268,0.0,0.0,0.8083240042789263,0.08514184899922839,3.0991788454594955,61.343087949434164,1.4494637503463805,71.2676765895075,71.27279161314549,0.0,22.551434186630843,6.5693957260492075,24.75060327885166,46.12856680846829
4_SLA压力,SLA阈值×1.00,1.0,0.25,100.0,100.0,585.8225517033877,6.512358872187813,243.63196257630665,619.28929908,263.5077911228035,145.7378788724004,154.0635617284872,65.55409386839902,71.65376178258691,64.536766864873,0.9071050078364056,0.11945903900050325,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07232719300009194,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0,21.390153494041844,6.5693957260492075,24.748613080578153,47.2918376993308
4_SLA压力,SLA阈值×1.20,1.2,0.25,100.0,100.0,574.9405923646342,6.592750175234148,236.18491287062457,609.33336468,256.3422639763193,143.03072178636071,151.58677629673858,63.77149139894005,72.45589692163401,65.33343591897285,1.0768241411050574,0.14231947799999034,100.0,100.0,563.9691248403001,0.0,616.6838623350001,616.6838623350001,931.09959576,140.30129732077023,153.41539476453468,231.63410099261142,0.0,0.0,1.0891036644525711,0.07585923399983585,1.9454021578647451,61.70081182660781,1.1919393556316265,72.46886743978418,72.45589692163401,0.0,21.390153494041844,6.5693957260492075,23.310694827972238,48.729755951936724
4_SLA压力,SLA阈值×1.50,1.5,0.25,100.0,100.0,575.4995784492728,6.5750077638728195,237.79589962312656,610.47876198,258.1002983518002,143.1697834289307,151.87172226285543,64.20884602129517,72.26530575239366,65.15761055551863,1.0677488369778838,0.16073895600038668,100.0,100.0,557.8998629050999,0.0,617.768276625,617.768276625,931.6074535200003,138.7914179926611,153.68516969549967,231.76044319725358,0.0,0.0,1.1368485210339079,0.10795577200042317,3.154637008248676,61.50726597321308,1.179975554074131,72.29516601905772,72.26530575239366,0.0,21.544393860238326,6.5693957260492075,23.310694827972238,48.575515585740234
5_绿电波动压力,绿电波动系数=0.00,0.0,0.25,100.0,100.0,587.1955727648652,6.374257239565251,252.34287975404564,603.3399181650001,278.41297738728565,146.07945189065484,150.09575793342788,69.26212836462564,70.07547620327085,63.168194732541124,0.9071050078364056,0.12289871499979199,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07298644100046658,2.1432936681789183,59.74373913666438,3.749179851687811,70.06380159539202,70.07547620327085,0.0,20.016170360972207,6.096972410876434,24.374704579943778,49.51215264820758
5_绿电波动压力,绿电波动系数=0.50,0.5,0.25,100.0,100.0,585.4190727943501,6.470340481350055,247.03401442991057,609.5356787250001,267.9275834984239,145.63750349388016,151.63710692962164,66.65362676279919,71.18209715722122,64.12036918981326,0.9071050078364056,0.10271515899967198,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07121744599953672,1.8342696111080687,60.59066244825137,2.760770138708264,71.191237660884,71.18209715722122,0.0,20.016170360972207,6.096972410876434,25.269547478667562,48.6173097494838
5_绿电波动压力,绿电波动系数=1.00,1.0,0.25,100.0,100.0,585.8225517033877,6.512358872187813,243.63196257630665,619.28929908,263.5077911228035,145.7378788724004,154.0635617284872,65.55409386839902,71.65376178258691,64.536766864873,0.9071050078364056,0.11816782300047635,100.0,100.0,574.8743276993,0.0,626.841326895,626.841326895,930.0211524000001,143.01423680854293,155.94231581834464,231.3658114784686,0.0,0.0,0.9193845311839192,0.07479544500074553,1.90445519595622,61.13339179739236,1.2047750349212358,71.66647334388054,71.65376178258691,0.0,21.390153494041844,6.5693957260492075,24.748613080578153,47.2918376993308
